"","time_depart_standard","flight_hour","airline_US","airline_outside","price","rough_estimated_duration","stops","destination","date"
"1","16:16",16,"American","Iberia",845,13,"2","Lyon","Friday 13"
"2","14:05",14,"United","Lufthansa",851,13,"2","Lyon","Friday 13"
"3","16:00",16,"Air CanadaLufthansa","Air CanadaLufthansa",952,13,"2","Lyon","Friday 13"
"4","06:00",6,"United","Air Canada",832,23,"2","Lyon","Friday 13"
"5","10:15",10,"United","Air Canada",832,18,"2","Lyon","Friday 13"
"6","10:15",10,"United","Air Canada",832,18,"2","Lyon","Friday 13"
"7","11:15",11,"American","British Airways",833,19,"2","Lyon","Friday 13"
"8","13:31",13,"American","British Airways",833,17,"2","Lyon","Friday 13"
"9","21:35",21,"British Airways","British Airways",843,30,"1","Lyon","Friday 13"
"10","11:25",11,"United","Lufthansa",851,16,"2","Lyon","Friday 13"
"11","16:00",16,"Air Canada","Air DolomitiLufthansa",852,16,"2","Lyon","Friday 13"
"12","16:00",16,"Air Canada","Air DolomitiLufthansa",852,14,"2","Lyon","Friday 13"
"13","14:05",14,"United","Austrian",857,16,"2","Lyon","Friday 13"
"14","11:25",11,"United","Brussels Airlines",857,17,"2","Lyon","Friday 13"
"15","14:05",14,"United","Brussels Airlines",857,15,"2","Lyon","Friday 13"
"16","21:35",21,"British Airways","Iberia",871,16,"2","Lyon","Friday 13"
"17","15:25",15,"Delta","Air France",948,19,"2","Lyon","Friday 13"
"18","19:30",19,"Delta","Air France",948,15,"2","Lyon","Friday 13"
"19","19:30",19,"Delta","Air France",948,16,"2","Lyon","Friday 13"
"20","16:00",16,"Air Canada","Tap Air Portugal",953,19,"2","Lyon","Friday 13"
"21","15:25",15,"Delta","KLM",954,16,"2","Lyon","Friday 13"
"22","16:45",16,"Delta","KLM",954,14,"2","Lyon","Friday 13"
"23","16:45",16,"Delta","Air France",954,17,"2","Lyon","Friday 13"
"24","14:05",14,"United","Air Canada",977,15,"2","Lyon","Friday 13"
"25","11:15",11,"American","Iberia",990,18,"2","Lyon","Friday 13"
"26","14:30",14,"American","IberiaFinnair",990,15,"2","Lyon","Friday 13"
"27","10:15",10,"United","Lufthansa",996,17,"2","Lyon","Friday 13"
"28","10:15",10,"United","Lufthansa",996,17,"2","Lyon","Friday 13"
"29","11:25",11,"United","Lufthansa",996,16,"2","Lyon","Friday 13"
"30","14:05",14,"United","Air Dolomiti",996,18,"2","Lyon","Friday 13"
"31","16:20",16,"United","Air DolomitiLufthansa",996,15,"2","Lyon","Friday 13"
"32","18:25",18,"United","Air DolomitiLufthansa",996,13,"2","Lyon","Friday 13"
"33","19:50",19,"United","Air DolomitiLufthansa",996,12,"2","Lyon","Friday 13"
"34","14:05",14,"United","Air DolomitiLufthansa",996,16,"2","Lyon","Friday 13"
"35","16:20",16,"United","Brussels Airlines",1002,12,"2","Lyon","Friday 13"
"36","15:25",15,"Delta","Air France",1048,19,"2","Lyon","Friday 13"
"37","13:54",13,"Delta","KLM",1054,17,"2","Lyon","Friday 13"
"38","15:25",15,"Delta","Air France",1054,18,"2","Lyon","Friday 13"
"39","19:30",19,"Delta","Air France",1054,14,"2","Lyon","Friday 13"
"40","19:50",19,"United","Tap Air Portugal",1097,15,"2","Lyon","Friday 13"
"41","16:16",16,"American","Air France",1114,18,"2","Lyon","Friday 13"
"42","11:25",11,"United","Air Canada",1351,17,"2","Lyon","Friday 13"
"43","14:52",14,"United","Lufthansa",1371,13,"2","Lyon","Friday 13"
"44","14:52",14,"United","Air DolomitiLufthansa",1371,17,"2","Lyon","Friday 13"
"45","14:52",14,"United","Air DolomitiLufthansa",1371,15,"2","Lyon","Friday 13"
"46","11:25",11,"United","Austrian",1377,18,"2","Lyon","Friday 13"
"47","14:52",14,"United","Brussels Airlines",1377,14,"2","Lyon","Friday 13"
"48","14:52",14,"United","Brussels Airlines",1692,44,"2","Lyon","Friday 13"
"49","16:16",16,"American","Aer Lingus",1936,15,"2","Lyon","Friday 13"
"50","21:35",21,"British AirwaysIberia","American",1946,13,"1","Lyon","Friday 13"
"51","15:38",15,"American","British Airways",1950,15,"2","Lyon","Friday 13"
"52","17:04",17,"American","British Airways",1950,17,"2","Lyon","Friday 13"
"53","13:31",13,"American","Aer Lingus",2167,18,"2","Lyon","Friday 13"
"54","13:31",13,"American","Aer Lingus",2167,18,"2","Lyon","Friday 13"
"55","16:22",16,"American","Aer Lingus",2167,15,"2","Lyon","Friday 13"
"56","16:22",16,"American","Aer Lingus",2167,15,"2","Lyon","Friday 13"
"57","17:26",17,"American","Aer Lingus",2167,14,"2","Lyon","Friday 13"
"58","06:00",6,"United","Air Canada",2372,23,"2","Lyon","Friday 13"
"59","06:00",6,"United","Air Canada",2372,23,"2","Lyon","Friday 13"
"60","11:08",11,"American","Iberia",3025,18,"2","Lyon","Friday 13"
"61","16:16",16,"American","British Airways",3029,18,"2","Lyon","Friday 13"
"62","16:22",16,"American","British Airways",3029,14,"2","Lyon","Friday 13"
